FIELD,TOPIC,LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT
linguistics,causation,Lithuanian,incollection,arkadievpakerys2015,"Arkadiev, Peter and Pakerys, Jurgis","Holvoet, Axel and Nau, Nicole",Lithuanian morphological causatives: A corpus-based study,2015,,,,39-97,Voice and Argument Structure in Baltic,,,,,,,,DOI: 10.1075/vargreb.2.01ark,"We analyse morphological causative verbs in Lithuanian on the basis of an annotated corpus, studying the distribution of different causative suffixes across the valency types of base verbs, as well as the argument structure of the causatives themselves. We show that different causative suffixes are unevenly distributed with respect to the transitivity and agentivity of the base verbs and that morphological causatives in Lithuanian, no longer being productive, tend to pattern in their argument structure and interpretation together with ordinary transitive verbs. The not very numerous causatives based on transitive verbs are investigated, and it is shown that causatives based on “ingestive” verbs like ‘eat’ or ‘drink’ behave differently from causatives formed from other semantic types of bases, in particular in that they allow the expression of both participants of the caused event. The non-ingestive transitive verbs derive the so called “curative” causatives which are peculiar in that they never allow an overt regular expression of the agent of the caused situation, therefore not being valency-increasing in the strict sense of the term. Such causatives are also shown to undergo meaning shifts rendering them partly synonymous to their base verbs thus losing the original causative semantics."
linguistics,valency,,book,tesniere2015,"Tesnière, Lucien",,Elements of structural syntax,2015,,John Benjamins Publishing Company,Amsterdam/Philadelphia,,,,,,,,1959,,,
"linguistics, linguistic typology",causation,,article,haspelmath2016,"Haspelmath, Martin",,Universals of causative and anticausative verb formation and the spontaneity scale,2016,,,,33-63,,,Lingua Posnaniensis ,58,2,,,https://www.researchgate.net/publication/322985039_Universals_of_causative_and_anticausative_verb_formation_and_the_spontaneity_scale,,"In this paper, I formulate and explain a number of universal generalizations about the formation of causative verbs (overtly marked verbs with causal meaning) and anticausative verbs (overtly marked verbs with noncausal meaning). Given the “spontaneity scale” of basic verb meanings (transitive > unergative > automatic unaccusative > costly unaccusative > agentful), we can say that verb pairs with a noncausal verb higher on the scale tend to be causative pairs, and verb pairs with a noncausal verb lower on the scale tend to be anticausative pairs. I propose that these generalizations can be subsumed under form-frequency correspondence: That transitive base verbs tend to form causatives (often analytic causatives) is because they rarely occur in causal contexts, and the fact that unaccusative verbs tend to be coded as anticausatives is because they frequently occur in causal contexts, and special marking is required for the rarer and less expected situation."
"linguistics, linguistic typology",causation,,article,levshina2016a,"Levshina, Natalia",,Finding the best fit for direct and indirect causation: A typological study,2016,,,,65-82,,,Lingua Posnaniensis,58,2,,,,,
"linguistics, linguistic typology",causation,,article,levshina2016b,"Levshina, Natalia",,Why we need a token-based typology: A case study of analytic and lexical causatives in fifteen European languages,2016,,,,507-542,,,Folia Linguistica,50,2,,,,,
"linguistics, semantics, syntax",argument structure,,book,reinhart2016,"Reinhart, Tanya","Everaert, Martin and Marelj, Marijana and Reuland, Eric","Concepts, Syntax, and Their Interface: The Theta System",2016,,The MIT Press,Cambridge (MA)/London,262 pp.,,,,,,,,,,"One of Tanya Reinhart's major contributions to linguistic theory is the development of the Theta System (TS), a theory of the interface between the system of concepts and the linguistic computational system. Reinhart introduced her theory in a seminal paper, “The Theta System: Syntactic Realization of Verbal Concepts” (2000) and subsequently published other papers with further theoretical development. Although Reinhart continued to work on the Theta System, she had not completed a planned Linguistic Inquiry volume on the topic before her untimely death in 2007. This book, then, is the first to offer a systematic exposition of Reinhart's Theta System. The core of the book is Reinhart's 2000 paper, accompanied by substantial endnotes with clarifications, summaries, and links to subsequent modifications of the theory, some in Reinhart's unpublished work. An appendix by Marijana Marelj discusses the domain of Case, based on an LSA course she taught with Reinhart in 2005. Two additional essays by Reinhart's linguistic colleagues discuss the division of labor between the lexicon and syntax and the apparent conflict between the Theta System and Distributed Morphology."
linguistics,anticausative,Luragooli,incollection,gluckmanbowler2016,"Gluckman, John and Bowler, Margit","Payne, Doris L. and Pacchiarotti, Sara and Bosire, Mokaya",The anticausative alternation in Luragooli,2016,,Language Science Press,Berlin,271-289,Diversity in African languages,,,,,,,,DOI:10.17169/langsci.b121.486,"We discuss the distribution of the verbal suffix -Vk in Luragooli (Luyia, Bantu) based on original fieldwork with a native speaker. We show that -Vk patterns like an anticausative marker with respect to a number of different diagnostics, including licensing of theta-roles and interaction with lexical aspect. We compare Luragooli to other languages with anticausative morphology and identify different classes of verbs based on their behavior with the -Vk suffix. "
linguistics,anticausative,,article,schäfervivanco2016,"Schäfer, Florian and Vivanco, Margot",,"Anticausatives are weak scalar expressions, not reflexive expressions",2016,,,,1-36,,,Glossa: a journal of general linguistics,1,,,,,https://doi.org/10.5334/gjgl.36,"We discuss conceptual and empirical arguments from Germanic, Romance and Slavic languages against an analysis treating anticausative verbs as derived from their lexical causative counterparts under reflexivization. Instead, we defend the standard account to the semantics of the causative alternation according to which anticausatives in general, and anticausatives marked with reflexive morphology in particular, denote simple one-place inchoative events that are logically entailed by their lexical causative counterparts. Under such an account, anticausative verbs are weak scalar expressions that stand in a semantico-pragmatic opposition to their strong lexical causative counterparts. Due to this scalar relation, the use of an anticausative can trigger the implicature that the use of its lexical causative counterpart is too strong. As usual with implicatures, they can be ‘metalinguistically’ denied, cancelled, or reinforced and we argue that these mechanisms explain all central empirical facts brought up in the literature in favor of a treatment of anticausatives as semantically reflexive predicates. Our results reinforce the view that the reflexive morphemes used in many (Indo-European) languages to mark anticausatives do not necessarily trigger reflexive semantics. However, we also show that a string involving a reflexively marked (anti-)causative verb can be forced into a semantically reflexive construal under particular conceptual or grammatical circumstances."
"linguistics, linguistic typology",valency,,book,gonzaleznavarro2017,,"González, Albert Álvarez and Navarro, Ia",Verb Valency Changes: Theoretical and typological perspectives,2017,,John Benjamins Publishing Company,Amsterdam/Philadelphia,310 pp.,,,,,,,,,,"This volume surveys a variety of verb valency change phenomena among diverse languages and from diverse theoretical viewpoints. It offers typological studies comparing languages in topics like applicative polysemy, complex predicate formation and locative alternation, but also works describing the different valency-changing operations in specific languages including West Circassian, Huasteca Nahuatl, Tlachichilco Tepehua and Seri, and works dealing with specific valency change constructions, such as tla- constructions in Nahuatl, resultatives in Yaqui, antipassives in Mocoví, and labile verbs in Arabic. This book aims to put this variety of backdrops in perspective and to clarify the notion and mechanisms of verb valency change. Both scholars and expert readers will get in these works a better understanding of the different verb valency changing operations and of the typological aspects involved in this phenomenon, together with a better grasp of how argument realization and verb morphology are connected in some languages."
"linguistics, grammaticalization",causation,,article,shustovaetal2017,"Shustova, Svetlana V. and Osheva, Elena A. and Klochko, Konstantin A.",,Desemantization of Functional Grammatical Causatives in the Aspect of Grammaticalization,2017,,,,34-41,,,XLinguae,10,1,,,,,"This article dwells upon the issues, connected with the prototype theory and grammaticalization theory in the sphere of causativeness category which is considered as interpersonal interaction. Functional grammatical causatives appear to be a means of causativeness actualization. In the process of functioning, they display prototypical characteristics which form the core of causativeness category and are traced to analytical tools of a language. One of leading grammaticalization indicators is desemantization, as a verb loses its lexical meaning in a certain environment and acquires grammatical functions. Functional grammatical causatives are considered to be analytical causative, for their meaning is formed in the sphere of functioning of such English verbs as to cause, to make, to force, to get, to bring, to let, to permit, to set, to keep, to allow; German verbs: lassen (to let, to cause), heiβen (to tell, to bid), machen (to make), bringen (to make, to get, to drive). Functional grammatical causatives possess generalized meaning and desemantization, display high usage frequency and have a wide range of generated constructions."
