FIELD,TOPIC,LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT
"linguistics, semantics, syntax","causation, event structure",,misc,rappaporthovavlevin2011,"Rappaport Hovav, Malka and Levin, Beth",,Lexicon Uniformity and the causative alternation,2011,,,,,,,,,,,,https://www.semanticscholar.org/paper/Lexicon-Uniformity-and-the-causative-alternation-Rappaport-Levin/42a91f96f1c3d75fd379456904d47a8d43bf8c5a,,"With respect to the first question, the perceived additional semantic complexity of the transitive or ‘causative’ variant—its explicit association with a notion of cause—may suggest that the transitive variant is derived from the intransitive or ‘anticausative’ variant1 by the addition of a CAUSE operator (e.g., Dowty 1979: 91; Hartl 2003; Lakoff 1966; Parsons 1990). This position is reinforced by the additional morphology associated with at least some verbs in this variant in some languages. In contrast, the intransitive variant is taken as derived by others (e.g., Chierchia 2003; Grimshaw 1982: 103ff; Levin and Rappaport Hovav 1995: 108; Reinhart 2002: 241, to appear: 27), most often because its verb is usually morphologically more complex than the verb in the causative variant in many languages, including French, Italian, and Russian (see also Koontz-Garboden 2009). "
"linguistics, semantics, syntax",event structure,,book,truswell2011,"Truswell, Robert",,"Events, Phrases, and Questions",2011,,Oxford University Press,Oxford,278 pp.,,,,,,,,,,"This book examines some knotty problems in natural language. These typically involve questions where the sense or the grammaticality of an utterance teeters on or over the edge of acceptability among native speakers. The phenomena in question have been examined within syntactic theory for over two decades with no wholly satisfactory outcome. Dr Truswell broadens the scope of the enquiry to the interface between syntactic structure and other, indirectly related, cognitive, and semantic structures such as aspect, agentivity, and presupposition. Uniting work from philosophical, cognitive and linguistic perspectives, he develops a model of the internal structure of events as perceptual and cognitive units. He deploys the model to explain and predict the acceptability of particular formulations. He considers the individuation of events in the light of the model and provides a novel account of patterns of question formation. He shows that these patterns throw new light on central claims of Chomsky's biolinguistic minimalist program and Jackendoff's parallel architecture theory of mind and language. This is work at the cutting edge of linguistic theory, catholic in its theoretical scope, open to insights from cognate fields, and illustrated with examples from a wide range of languages. It will interest philosophers, semanticists and cognitive scientists concerned with topics like events, agentivity, and planning, as well as linguists studying syntax or the syntax-semantics interface."
linguistics,valency,,book,faulhaber2011,"Faulhaber, Susen",,Verb valency patterns: A challenge for semantics-based accounts,2011,,De Gruyter Mouton,Berlin,357 pp.,,,,,,,,,https://doi.org/10.1515/9783110240788,"Taking as its point of departure the general assumption that meaning is crucial in accounting for verb complementation, this volume presents the results of an empirical study of verb complementation patterns of semantically similar English verbs. The semantic parallels of the verbs selected are based on their coverage in dictionaries - first and foremost the Valency Dictionary of English (Herbst, Heath, Roe and Götz 2004) - as well as corpus research and native speaker assessments. It is demonstrated that despite obvious similarities in complementation between such verbs, there are still a significant number of syntactic discrepancies which cannot be accounted for on the basis of meaning alone and that semantic factors - such as selection restrictions and aspectual properties - do not sufficiently correlate with the verbs' syntactic properties and consequently do not have sufficient explanatory power. Thus the results rigorously challenge so-called projectionist approaches which assume the position that complementation is determined by semantic properties and thus ought to be predictable on this basis. In the light of a general trend towards placing greater emphasis on semantic aspects, in the fields of construction grammar and cognitive grammar too, the number of idiosyncratic phenomena on the level of single complements as well as whole patterns clearly underlines the importance of storage phenomena as opposed to rule-based generation. As such it stresses the necessity of finding ways to systematically account for item-specific properties of verbs in any grammatical theory of the English language. The book is targeted at all linguists interested in the relationship between semantics and syntax, which is one of the prevalent questions in modern linguistics, also in the field of construction grammar and cognitive grammar. Since the data is presented in a way which is compatible with various theories of complementation, the target group is clearly not restricted to any specific linguistic school. Because of the large amount of item-specific information presented, this book is also a valuable source for grammarians and lexicographers."
linguistics,anticausative,,article,Horvathsiloni2011,"Horvath, Julia and Siloni, Tal",,Anticausatives: against reflexivization,2011,,,,2176-2186,,,Lingua,121,15,,,,https://doi.org/10.1016/j.lingua.2011.09.006,"Anticausative (unaccusative) verbs are not formed by a reflexivization operation. Contrary to claims advanced in recent studies, there is no evidence that they involve a Cause ingredient either in their lexical semantic representation or in the syntax. A series of arguments show that."
linguistics,"causation, non-canonical",,incollection,aikhenvald2011,"Aikhenvald, Alexandra Y.","Aikhenvald, Alexandra and Dixon, R. M. W.",Causatives which do not Cause: Non-Valency-Increasing Effects of a Valency-Increasing Derivation,2011,,Brill,Leiden,86-142,Language at Large: Essays on Syntax and Semantics,,,,,,,,https://doi.org/10.1163/ej.9789004206076.i-606.22,
linguistics,causation,,book,tubinoblanco2011,"Tubino Blanco, Mercedes",,Causatives in Minimalism,2011,,John Benjamins,Amsterdam/Philadelphia,,,,,,,,,https://www.researchgate.net/publication/229150734_Causatives_in_Minimalism,DOI: 10.1075/la.179,"This monograph studies issues of current minimalist concern, such as whether differences in the expression of argument and syntactic structure can all be attributed to the parameterization of specific functional heads. In particular, this book studies in-depth the extent to which variation in the expression of causation, available both intra- and crosslinguistically, can be accounted for by appealing only to the microparameterization of the causative head, Cause, as previously argued for by linguists such as Pylkkänen. It concludes that the microparameterization of Cause may explain some major characteristics associated with causatives, but it cannot be regarded as the only explanation behind variation in these structures. The book includes relevant discussion on argument structure and looks in detail at languages, such as the Uto-Aztecan Hiaki, that have not received much attention before. It is mostly intended for an audience interested in theoretical approaches to argument structure and variation."
linguistics,"causation, aspect",,book,croft2012,"Croft, William",,Verbs: Aspect and causal structure,2012,,Oxford University Press,Oxford,480 pp.,,,,,,,,,https://doi.org/10.1093/acprof:oso/9780199248582.001.0001,"“Verbs: aspect and causal structure” presents a model of event structure for the analysis of aspectual constructions and argument structure constructions in English and other languages. The central proposal is that the aspectual and causal structure of events should be clearly distinguished in their semantic representation, since each dimension makes a distinct contribution to the structure of grammatical constructions. In addition, aspect - the unfolding of events over time - must itself be analyzed in two dimensions, namely time and the qualitative states that an event enters or maintains over time. This geometric model of aspectual representation allows for a fine-grained and systematic analysis of aspectual types and their grammatical manifestation. The third dimension of event structure is the causal chain, the central semantic factor in argument realization. The aspectual and causal structures are integrated into a single model in which each participant in an event is represented by its own subevent, describing what that participant does (or has happen to it) as the event unfolds. The integrated event structure model is then used to analyze the types of events that are typically expressed in single verb constructions, with comparisons to selected complex predicate constructions such as resultative, depictive, converb and serial verb constructions."
"linguistics, semantics, syntax",argument structure,,book,everaertetal2012,,"Everaert, Martin and Marelj, Marijana and Siloni, Tal",The Theta System: Argument Structure at the Interface,2012,,Oxford University Press ,Oxford,407 pp.,,,,,,,,,,
"linguistics, syntax","event structure, lexical decomposition",,incollection,harley2012,"Harley, Heidi","Hinzen, Wolfram and Machery, Edouard and Werning, Markus",Lexical Decomposition in Modern Syntactic Theory,2012,,Oxford University Press,Oxford,328-350,The Oxford Handbook of Compositionality,,,,,,,,,"English ditransitive verbs that occur in the double-object frame are treated as syntactically complex, containing formatives CAUSE and HAVE in an embedding structure. The external argument of an agentive verb does not compose with the verb itself, but with an independent predicate, which relates the external argument to the verbal event. This independent predicate contributes the notion that the external argument is the Agent or Cause of the event. In the semi-neo-Davidsonian semantics proposed in Kratzer (1993, 1996), predicates denote a relationship between an individual and an eventuality, and a compositional operation of Event Identification applies to ensure that the stative eventuality and the causative eventuality are coindexed, each modifying the same single event argument, of which only a single temporal location can be predicated."
linguistics,causation,,incollection,neelemankoot2012,"Neeleman, Ad and Koot, Hans van de","Everaert, Martin and Marelj, Marijana and Siloni, Tal",The Linguistic Expression of Causation,2012,,Oxford University Press ,Oxford,,The Theta System: Argument Structure at the Interface,,,,,,,,,"It is commonly assumed that the linguistic representation of causation includes a causing event. We argue that this is not the case, neither in the syntactic nor in the lexical semantic representation of causative verbs. Instead, language emulates causation by encoding a resultant state and a crucial contributory factor in the causation of that state."
